month,year,total_calls,housing_calls,utx_calls,food_calls
April,2020,1045,149,90,214
April,2021,903,185,212,46
August,2019,854,179,147,82
August,2020,849,166,157,86
August,2021,938,239,117,48
December,2019,738,169,151,68
December,2020,1018,243,168,124
December,2021,919,211,157,71
February,2020,665,122,126,46
February,2021,774,172,146,38
January,2020,1082,186,184,85
January,2021,982,192,175,72
July,2019,813,154,160,82
July,2020,918,196,121,88
July,2021,969,233,101,43
June,2020,773,176,81,63
June,2021,877,267,148,34
March,2020,985,150,147,222
March,2021,917,225,185,56
May,2020,824,209,96,103
May,2021,885,226,154,49
November,2019,844,143,121,107
November,2020,1055,212,132,106
November,2021,1070,236,144,53
October,2019,878,172,184,84
October,2020,1052,224,173,133
October,2021,1022,272,179,53
September,2019,712,148,128,70
September,2020,906,193,182,76
September,2021,984,220,174,58
