total_calls,housing_calls,utx_calls,food_calls,asof_yyyymm
1045,149,90,214,202004
903,185,212,46,202104
854,179,147,82,201908
849,166,157,86,202008
938,239,117,48,202108
738,169,151,68,201912
1018,243,168,124,202012
919,211,157,71,202112
665,122,126,46,202002
774,172,146,38,202102
1082,186,184,85,202001
982,192,175,72,202101
813,154,160,82,201907
918,196,121,88,202007
969,233,101,43,202107
773,176,81,63,202006
877,267,148,34,202106
985,150,147,222,202003
917,225,185,56,202103
824,209,96,103,202005
885,226,154,49,202105
844,143,121,107,201911
1055,212,132,106,202011
1070,236,144,53,202111
878,172,184,84,201910
1052,224,173,133,202010
1022,272,179,53,202110
712,148,128,70,201909
906,193,182,76,202009
984,220,174,58,202109
